objectid,comuna,barrio,codigo_barrio,manzana,estrato,fecha_sincronizacion,st_area(shape),st_perimeter(shape)
23615,15,11,1511,1511999,3,1778724905000,22416.968646696634,4416.870028423677
23616,15,11,1511,1511999,3,1778724905000,71.15612511525,37.47443174412005
23617,15,11,1511,1511999,3,1778724905000,4149.839106315192,656.1073921808011
23618,16,02,1602,1602056,5,1778724905000,6589.129752127915,408.93017430749325
23619,16,02,1602,1602057,5,1778724905000,5231.701702125826,387.9855576973812
23620,16,02,1602,1602057,5,1778724905000,594.3519591291367,110.99592500186301
23621,16,02,1602,1602057,5,1778724905000,1024.7435809931958,134.36782137493796
23622,16,02,1602,1602057,5,1778724905000,48.833247753642304,33.87076435691503
23623,16,02,1602,1602057,6,1778724905000,219.94409496308387,61.99741815190181
23624,16,02,1602,1602058,5,1778724905000,1618.379822206818,221.95180920458233
23625,16,02,1602,1602058,6,1778724905000,241.98488229522968,65.99783199449917
23626,16,02,1602,1602059,5,1778724905000,5815.071776688924,379.23372299046287
23627,16,02,1602,1602060,5,1778724905000,8105.891735234867,691.7506583234655
23628,16,02,1602,1602061,4,1778724905000,10395.511554725632,630.6103528019354
23629,16,02,1602,1602062,5,1778724905000,18485.646409935856,1590.6442736182616
23630,16,02,1602,1602999,5,1778724905000,94.775836597112,114.18362173104668
23631,16,02,1602,1602999,5,1778724905000,7891.709155057097,1503.877785187313
23632,16,02,1602,1602999,5,1778724905000,1970.116827088595,329.36280663620715
23633,16,02,1602,1602999,5,1778724905000,28.38796657675944,39.489155734704404
23634,16,02,1602,1602999,5,1778724905000,526.844419602622,111.94648153135321
23635,16,02,1602,1602999,5,1778724905000,429.8658170370349,106.06883866827522
23636,16,03,1603,1603001,3,1778724905000,189.56892486039115,57.93397784724313
23637,16,03,1603,1603001,4,1778724905000,9978.324987545613,471.8298562811858
23638,16,03,1603,1603002,3,1778724905000,457.28634585178474,117.25024211526237
23639,16,05,1605,1605031,3,1778724905000,7409.916034610792,552.8347183001529
23640,16,05,1605,1605031,4,1778724905000,139.99658109501362,53.99928521343358
23641,16,05,1605,1605031,4,1778724905000,139.9905531879692,53.99841730142107
23642,16,05,1605,1605032,3,1778724905000,6150.067793240232,387.70559029532063
23643,16,05,1605,1605033,3,1778724905000,2971.5354473585053,237.59657626994576
23644,16,05,1605,1605034,2,1778724905000,189.162903535523,63.62097861205067
23645,16,05,1605,1605034,3,1778724905000,4809.739146332439,329.4869995935921
23646,16,05,1605,1605035,3,1778724905000,9606.828032479862,479.73178489828575
23647,16,05,1605,1605035,4,1778724905000,135.8830941764045,60.207797555297304
23648,16,05,1605,1605030,4,1778724905000,139.98644212180267,53.99817709458494
23649,16,05,1605,1605030,4,1778724905000,233.96920990689915,63.40123626728004
23650,15,10,1510,1510046,4,1778724905000,65.6497163841352,33.28589897295798
23651,15,10,1510,1510047,4,1778724905000,2894.0047569326885,261.02118347076623
23652,15,10,1510,1510049,3,1778724905000,12113.208861692967,449.12477090875217
23653,15,10,1510,1510050,3,1778724905000,23086.028524299574,627.9230780891795
23654,15,10,1510,1510053,3,1778724905000,14813.352443409778,477.22496620997885
23655,15,10,1510,1510054,3,1778724905000,6920.173131164586,351.5706090954401
23656,15,10,1510,1510056,3,1778724905000,2499.4369699473577,401.88236262042716
23657,15,10,1510,1510999,3,1778724905000,22.300753988013078,32.979680584405905
23658,15,10,1510,1510999,3,1778724905000,52.500819138652226,29.011294671351138
23659,15,10,1510,1510999,3,1778724905000,514.4894770248716,165.8819749412032
23660,15,10,1510,1510999,3,1778724905000,236.9938267033858,89.92757493091439
